AÑO,SEDE,FACULTAD,CARRERA,OBSERVACIONES
2019,SEDE 2,FACULTAD 2,INGENIERIA 13,3
2019,SEDE 2,FACULTAD 2,TÉCNICO 05,3
2019,SEDE 2,FACULTAD 3,INGENIERIA 15,3
2019,SEDE 3,FACULTAD 1,LICENCIATURA 04,3
2019,SEDE 3,FACULTAD 3,POSTGRADO 38,3
2019,SEDE 6,FACULTAD 1,INGENIERIA 01,3
2019,SEDE 6,FACULTAD 1,INGENIERIA 01,3
2019,SEDE 6,FACULTAD 1,LICENCIATURA 05,3
2019,SEDE 6,FACULTAD 5,INGENIERIA 29,3
2019,SEDE 6,FACULTAD 5,LICENCIATURA 21,3
2019,SEDE 6,FACULTAD 5,INGENIERIA 24,3
2019,SEDE 6,FACULTAD 5,INGENIERIA 25,3
2019,SEDE 6,FACULTAD 5,POSTGRADO 10,3
2019,SEDE 6,FACULTAD 2,INGENIERIA 08,3
2019,SEDE 6,FACULTAD 3,INGENIERIA 15,3
2019,SEDE 6,FACULTAD 3,LICENCIATURA 08,3
2019,SEDE 6,FACULTAD 3,LICENCIATURA 08,3
2019,SEDE 6,FACULTAD 3,POSTGRADO 24,3
2019,SEDE 6,FACULTAD 4,LICENCIATURA 14,3
2019,SEDE 6,FACULTAD 4,LICENCIATURA 14,3
2019,SEDE 6,FACULTAD 4,LICENCIATURA 15,3
2019,SEDE 6,FACULTAD 4,LICENCIATURA 15,3
2019,SEDE 6,FACULTAD 4,LICENCIATURA 15,3
2019,SEDE 4,FACULTAD 3,LICENCIATURA 10,3
2019,SEDE 5,FACULTAD 3,INGENIERIA 15,3
2019,SEDE 5,FACULTAD 3,LICENCIATURA 08,3
2019,SEDE 5,FACULTAD 3,LICENCIATURA 08,3
2019,SEDE 1,FACULTAD 6,LICENCIATURA 24,3
2019,SEDE 1,FACULTAD 6,LICENCIATURA 24,3
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,3
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,3
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,3
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,3
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,3
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,3
2019,SEDE 1,FACULTAD 1,INGENIERIA 01,3
2019,SEDE 1,FACULTAD 1,LICENCIATURA 01,3
2019,SEDE 1,FACULTAD 1,INGENIERIA 03,3
2019,SEDE 1,FACULTAD 1,INGENIERIA 03,3
2019,SEDE 1,FACULTAD 1,INGENIERIA 05,3
2019,SEDE 1,FACULTAD 1,LICENCIATURA 02,3
2019,SEDE 1,FACULTAD 1,LICENCIATURA 02,3
2019,SEDE 1,FACULTAD 1,LICENCIATURA 03,3
2019,SEDE 1,FACULTAD 1,LICENCIATURA 04,3
2019,SEDE 1,FACULTAD 1,LICENCIATURA 04,3
2019,SEDE 1,FACULTAD 1,LICENCIATURA 04,3
2019,SEDE 1,FACULTAD 1,LICENCIATURA 05,3
2019,SEDE 1,FACULTAD 1,LICENCIATURA 05,3
2019,SEDE 1,FACULTAD 1,POSTGRADO 16,3
2019,SEDE 1,FACULTAD 5,INGENIERIA 23,3
2019,SEDE 1,FACULTAD 5,LICENCIATURA 27,3
2019,SEDE 1,FACULTAD 5,LICENCIATURA 21,3
2019,SEDE 1,FACULTAD 5,LICENCIATURA 21,3
2019,SEDE 1,FACULTAD 5,LICENCIATURA 21,3
2019,SEDE 1,FACULTAD 5,LICENCIATURA 21,3
2019,SEDE 1,FACULTAD 5,LICENCIATURA 22,3
2019,SEDE 1,FACULTAD 5,LICENCIATURA 22,3
2019,SEDE 1,FACULTAD 5,LICENCIATURA 22,3
2019,SEDE 1,FACULTAD 5,LICENCIATURA 22,3
2019,SEDE 1,FACULTAD 5,LICENCIATURA 22,3
2019,SEDE 1,FACULTAD 5,INGENIERIA 24,3
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,3
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,3
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,3
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,3
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,3
2019,SEDE 1,FACULTAD 5,INGENIERIA 25,3
